Minutes60UTC,PriceArea,Minutes60DK,ImbalancePriceEUR,ImbalancePriceDKK,SpotPriceEUR,aFRRUpMW,aFRRDownMW,aFRRVWAUpEUR,aFRRVWADownEUR,aFRRVWAUpDKK,aFRRVWADownDKK,mFRRMarginalPriceUpEUR,mFRRMarginalPriceDownEUR,mFRRMarginalPriceUpDKK,mFRRMarginalPriceDownDKK
2025-03-04T12:00:00.0,DK1,2025-03-04T13:00:00.0,-4.63,-34.53,4.04,0.0,-22.709999999999997,0.0,-15.129999999999999,0.0,-112.85249999999999,4.04,-4.63,30.13,-34.53
2025-03-04T13:00:00.0,DK1,2025-03-04T14:00:00.0,10.11,75.41,10.11,0.0,-10.765,3.7125,-7.265000000000001,27.69,-54.19,28.0,10.11,208.85,75.41
2025-03-04T14:00:00.0,DK1,2025-03-04T15:00:00.0,30.07,224.29,30.07,0.23500000000000001,-11.485,36.8275,0.69,274.695,5.147500000000004,30.07,-7.91,224.29,-59.0
2025-03-04T15:00:00.0,DK1,2025-03-04T16:00:00.0,50.0,372.94,50.0,3.025,-4.4725,86.775,9.57,647.2449999999999,71.38,50.0,10.06,372.94,75.04
2025-03-04T16:00:00.0,DK1,2025-03-04T17:00:00.0,74.91,558.75,74.91,2.9875,-4.345,81.61,10.8275,608.7225000000001,80.7625,74.91,31.5,558.75,234.96
2025-03-04T17:00:00.0,DK1,2025-03-04T18:00:00.0,136.47,1017.92,64.54,0.075,-28.497500000000002,19.785,-28.285,147.575,-210.975,136.47,34.0,1017.92,253.6
2025-03-04T18:00:00.0,DK1,2025-03-04T19:00:00.0,31.5,234.96,42.31,1.1724999999999999,-4.175,22.4075,13.922499999999998,167.135,103.845,42.31,31.5,315.59,234.96
2025-03-04T19:00:00.0,DK1,2025-03-04T20:00:00.0,27.0,201.39,29.85,0.53,-18.372500000000002,35.097500000000004,-20.169999999999998,261.79,-150.44749999999996,29.85,27.0,222.65,201.39
2025-03-04T20:00:00.0,DK1,2025-03-04T21:00:00.0,37.0,275.98,25.33,0.0,-36.19,0.0,-41.102500000000006,0.0,-306.58,37.0,25.33,275.98,188.93
2025-03-04T21:00:00.0,DK1,2025-03-04T22:00:00.0,73.21,546.07,25.52,0.0,-33.982499999999995,0.0,-36.035,0.0,-268.7825,73.21,25.52,546.07,190.35
2025-03-04T22:00:00.0,DK1,2025-03-04T23:00:00.0,121.82,908.64,20.69,0.0,-31.7275,0.0,-217.18999999999997,0.0,-1620.0,121.82,20.69,908.64,154.32
2025-03-04T23:00:00.0,DK1,2025-03-05T00:00:00.0,-12.07,-90.03,23.21,0.0,-2.0875,0.0,-16.025,0.0,-119.53,23.21,-12.07,173.12,-90.03
